date,open,high,low,close,,,
5/8/2023,412.97,413.24,411.28,412.74,,,
5/9/2023,411.13,412.09,410.6894,410.93,,,
5/10/2023,413.88,414.535,408.87,412.85,,,
5/11/2023,411.95,412.43,409.97,412.13,,,
5/12/2023,413.42,413.64,409.07,411.59,,,
5/15/2023,412.22,413.43,410.23,413.01,,,
5/16/2023,411.86,412.815,410.24,410.25,,,
5/17/2023,412.35,415.855,410.635,415.23,,,
5/18/2023,414.9,419.67,414.67,419.23,,,
5/19/2023,420.17,420.72,417.35,418.62,,,
5/22/2023,418.64,420.39,417.35,418.79,,,
5/23/2023,417.08,418.722,413.68,414.09,,,
5/24/2023,412.42,412.82,409.8795,411.09,,,
5/25/2023,414.74,416.16,412.4101,414.65,,,
5/26/2023,415.33,420.77,415.25,420.02,,,
5/30/2023,422.03,422.58,418.735,420.18,,,
5/31/2023,418.28,419.22,416.22,417.85,,,
6/1/2023,418.09,422.92,416.79,421.82,,,
6/2/2023,424.5,428.74,423.95,427.92,,,
6/5/2023,428.28,429.62,426.37,427.1,,,
6/6/2023,426.67,428.5772,425.99,428.03,,,
6/7/2023,428.44,429.62,426.11,426.55,,,
6/8/2023,426.62,429.6,425.82,429.13,,,
6/9/2023,429.96,431.99,428.87,429.9,,,
6/12/2023,430.92,433.88,430.17,433.8,,,
6/13/2023,435.32,437.33,434.63,436.66,,,
6/14/2023,437.01,439.0612,433.59,437.18,,,
6/15/2023,436.33,443.9,436.23,442.6,,,
6/16/2023,443.02,443.6078,438.97,439.46,,,
6/20/2023,437.45,438.37,435.03,437.18,,,
6/21/2023,436.16,436.99,434.33,434.94,,,
6/22/2023,433.95,436.62,433.6,436.51,,,
6/23/2023,432.93,435.06,432.47,433.21,,,
6/26/2023,432.62,434.61,431.19,431.44,,,
6/27/2023,432.35,436.81,431.88,436.17,,,
6/28/2023,435.05,437.44,434.41,436.39,,,
6/29/2023,435.96,438.28,435.54,438.11,,,
6/30/2023,441.44,444.3,441.11,443.28,,,
7/3/2023,442.92,444.08,442.63,443.79,,,
7/5/2023,441.91,443.889,441.9,443.13,,,
7/6/2023,439.42,440.1,437.06,439.66,,,
7/7/2023,438.63,442.64,438.3,438.55,,,
7/10/2023,438.18,439.84,437.585,439.66,,,
7/11/2023,440.45,442.97,439.44,442.46,,,
7/12/2023,446.39,447.4799,444.91,446.02,,,
7/13/2023,447.9,450.38,447.45,449.56,,,
7/14/2023,450.475,451.36,448.49,449.28,,,
7/17/2023,449.13,451.93,449.08,450.84,,,
7/18/2023,450.5,454.86,450.0484,454.19,,,
7/19/2023,455.01,456.43,454.1119,455.2,,,
7/20/2023,454.17,455.1,451.44,452.18,,,
7/21/2023,453.96,454.165,452.17,452.18,,,
7/24/2023,453.37,455.04,452.298,454.2,,,
7/25/2023,453.92,456.735,453.87,455.44,,,
7/26/2023,454.47,456.99,453.38,455.51,,,
7/27/2023,459.02,459.44,451.55,452.49,,,
7/28/2023,455.88,457.78,452.4918,456.92,,,
7/31/2023,457.41,458.16,456.045,457.79,,,
8/1/2023,456.27,457.25,455.49,456.48,,,
8/2/2023,453.25,453.52,449.3499,450.13,,,
8/3/2023,448.04,450.79,447.37,448.84,,,
8/4/2023,450.72,452.895,446.27,446.81,,,
8/7/2023,448.71,450.865,447.99,450.71,,,
